"Início dos relatórios","Término dos relatórios","Nome da campanha","Veiculação da campanha","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Resultados,"Indicador de resultados","Custo por resultados","CPM (custo por 1.000 impressões) (BRL)",Alcance,Frequência,Impressões,"CTR (taxa de cliques no link)","Cliques no link","CPC (custo por clique no link) (BRL)","Visitas ao perfil do Instagram"
2025-06-01,2025-06-30,"CP90 [Mensagem] Sportage",inactive,25,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP85 [Conv] [Bongo]",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP86 [Conversão] Niro",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP87 [Whats] [Aumento dos impostos]",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP91[Conv] [Bongo] Antigos que deram bom",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP92 [Conversão] [Sportage] Antigos que deram bom",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP93 [Conversão] [Niro] Antigos que deram bom",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP94 [Cadastros] Niro",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP95 [Whats] Hibridos jornal - Jan24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP96 [Cadastros] Bongo",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP97 [Cadastros] Sportage",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP98 [Cadastros] Stonic - Jan 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP99 [Conversão] [Stonic]  Jan24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP100 [Cadastros] Niro",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP101 [Cadastros] Stonic - Fev 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP102 [Cadastros] Bongo  Anuncio Dinamico  -Mar24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP103 [Cadastros] Movimento Hibrido Kia - Mar24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP104 [Cadastros] Stonic - Mar 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP105 [Cadastros] Stonic - Abril 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP34 [Conversão] CERATO FFIPE",inactive,30,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP23 [Conversão] Bongo 60x",inactive,10,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP19 [WhatsApp] STONIC",inactive,20,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP19 [Conversão] STONIC litoral",inactive,20,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP19 [Conversão] STONIC litoral — Cópia",inactive,20,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP35 [Conversão] Stonic",inactive,50,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP36 [Conversão] Seguros Campanha",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP37 [Conversão] Seguros Campanha",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP34 [Conversão] CERATO Emplacamento",inactive,15,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP40 [Conversão] Stonic",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP41 [Conversão] Stonic Gramado",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP41 [Conversão] Stonic",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP42 [Conversão] Stonic — Cópia",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP44 [Conversão] Stonic taxa 0",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP42 [Conversão] Stonic",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP45 [Engajamento] FVB",inactive,35,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP46 [Engajamento] FVB - insta ju",inactive,25,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP23 [Conversão] Bongo 60x 4x4",inactive,15,Diário,0,,,,0,0,0,0,,,,0
