"Início dos relatórios","Término dos relatórios","Nome da campanha","Veiculação da campanha","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Resultados,"Indicador de resultados","Custo por resultados","CPM (custo por 1.000 impressões) (BRL)",Alcance,Frequência,Impressões,"CTR (taxa de cliques no link)","Cliques no link","CPC (custo por clique no link) (BRL)","Visitas ao perfil do Instagram"
2025-07-01,2025-07-31,"CP93 [Conversão] [Niro] Antigos que deram bom",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP94 [Cadastros] Niro",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP95 [Whats] Hibridos jornal - Jan24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP96 [Cadastros] Bongo",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP97 [Cadastros] Sportage",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP98 [Cadastros] Stonic - Jan 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP99 [Conversão] [Stonic]  Jan24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP100 [Cadastros] Niro",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP101 [Cadastros] Stonic - Fev 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP102 [Cadastros] Bongo  Anuncio Dinamico  -Mar24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP103 [Cadastros] Movimento Hibrido Kia - Mar24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP104 [Cadastros] Stonic - Mar 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP105 [Cadastros] Stonic - Abril 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP106 [Cadastros] Sportage — Abril 24",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP23 [Conversão] Bongo 60x",inactive,10,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP19 [WhatsApp] STONIC",inactive,20,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP19 [Conversão] STONIC litoral",inactive,20,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP19 [Conversão] STONIC litoral — Cópia",inactive,20,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP35 [Conversão] Stonic",inactive,50,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP36 [Conversão] Seguros Campanha",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP37 [Conversão] Seguros Campanha",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP34 [Conversão] CERATO Emplacamento",inactive,15,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP40 [Conversão] Stonic",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP41 [Conversão] Stonic Gramado",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP41 [Conversão] Stonic",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP42 [Conversão] Stonic — Cópia",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP44 [Conversão] Stonic taxa 0",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP42 [Conversão] Stonic",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP45 [Engajamento] FVB",inactive,35,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP46 [Engajamento] FVB - insta ju",inactive,25,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP23 [Conversão] Bongo 60x 4x4",inactive,15,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP70 [Conversão] Niro",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP71 [Conversão] Niro",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP73 [Conversão] Niro — Cópia",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP73 [Conversão] Niro — Cópia — Cópia",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP73 [Conversão] Niro",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP74 [Conversão] Sportage",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP78 [Engajamento] [Gramado]",inactive,20,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"CP75 [Cadastro] Niro",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"09 - MS [Conversão] - Sportage",inactive,30,Diário,0,,,,0,0,0,0,,,,0
2025-07-01,2025-07-31,"10 - MS [Conversão] - Sportage 2",inactive,30,Diário,0,,,,0,0,0,0,,,,0
