Relatório de campanha
1 de junho de 2025 - 30 de junho de 2025
Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Tipo de estratégia de lances,Status,Motivos do status,Tipo de campanha,Impr.,Interações,Código da moeda,Custo médio,Custo,CTR,Cliques,CPC méd.,Taxa de conv.,Conversões,Custo / conv.
Ativada,02 [Pesquisa] Nk 150,"5,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,4.640,163,BRL,"0,30","49,49","3,51%",163,"0,30","1,23%","2,00","24,75"
Ativada,[Pesquisa] V-Strom 650,"7,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Pesquisa,17.594,305,BRL,"0,59","180,55","1,73%",305,"0,59","6,23%","19,00","9,50"
Ativada,24 [Pesquisa] DR 160,"7,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Pesquisa,10.371,429,BRL,"0,51","218,13","4,14%",429,"0,51","5,13%","22,00","9,91"
Ativada,20 [Pesquisa] R350,"3,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,949,77,BRL,"0,97","74,92","8,11%",77,"0,97","0,26%","0,20","374,62"
Ativada,03 [Pesquisa] V-strom 800de,"3,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,5.951,173,BRL,"0,58","100,35","2,91%",173,"0,58","2,31%","4,00","25,09"
Ativada,14 [Pesquisa] Gsx8s,"3,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,1.226,49,BRL,"1,43","70,17","4,00%",49,"1,43","0,00%","0,00","0,00"
Pausada,11 [Pesquisa] Gsxs 8s,"0,11", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,05 [Youtube] NK150,"5,85", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,31 [Pesquisa] Hayabusa setembro,"0,11", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,12 [Pesquisa] Master,"5,85", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
