Relatório de campanha
1 de janeiro de 2025 - 30 de junho de 2025
Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Código da moeda,Tipo de estratégia de lances,Status,Motivos do status,Tipo de campanha,Impr.,Interações,Custo médio,Custo,CTR,Cliques,CPC méd.,Taxa de conv.,Conversões,Custo / conv.
Pausada,21 [Pesquisa] Hayabusa,"3,23", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,14 [Youtube] vstrom800de,"5,52", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Ativada,04 [Pesquisa] Dk 150,"5,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,59.800,1.429,"0,68","974,08","2,39%",1.429,"0,68","4,23%","60,50","16,10"
Ativada,01 [Pesquisa] Master Ride,"5,00", --,Diário,BRL,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Pesquisa,72.301,1.742,"1,02","1776,09","2,41%",1.742,"1,02","6,83%","119,00","14,92"
Ativada,17 [Pesquisa] GK350,"3,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,2.515,216,"1,19","256,98","8,59%",216,"1,19","0,93%","2,00","128,49"
Pausada,04 [Pesquisa] Gsxs 1000,"11,01", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,10.449,252,"1,29","325,58","2,41%",252,"1,29","5,36%","13,50","24,12"
Ativada,[Amanita] [PMAX] Haojue,"7,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Performance Max,211.203,6.382,"0,18","1163,41","2,84%",6.008,"0,19","10,77%","687,28","1,69"
Ativada,06 [Pesquisa] T 350,"7,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,7.597,946,"0,76","716,02","12,45%",946,"0,76","3,69%","34,88","20,53"
Pausada,36 [Pesquisa] [Cliques] Zontes,"5,00", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; a maioria dos anúncios foi reprovada,Pesquisa,18.544,1.305,"0,88","1147,77","7,04%",1.305,"0,88","0,06%","0,72","1595,56"
Pausada,01 [Youtube] DK 150,"5,85", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,07 [Pesquisa] V strom 800de,"0,11", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,08 [Youtube] V strom 800de,"0,11", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,13 [Youtube] Gsxs8s,"3,23", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,07 [Youtube] DR 160,"5,85", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,02 [Pesquisa] DK 150 CBS,"5,85", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,19 [Pesquisa] T350x #2,"2,37", --,Diário,BRL,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Total: Campanhas, --, --, --, --,BRL, --, --,, --,577.779,17.839,"0,66","11821,79","3,02%",17.465,"0,68","6,65%","1.186,01","9,97"
Total: Conta,,,,,BRL,,,,,577.779,17.839,"0,66","11821,79","3,02%",17.465,"0,68","6,65%","1.186,01","9,97"
Total: Pesquisa,,,,,BRL,,,,Pesquisa,366.576,11.457,"0,93","10658,39","3,13%",11.457,"0,93","4,35%","498,73","21,37"
Total: Vídeo,,,,,BRL,,,,Vídeo,0,0,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Total: Performance Max,,,,,BRL,,,,Performance Max,211.203,6.382,"0,18","1163,41","2,84%",6.008,"0,19","10,77%","687,28","1,69"
